id,scenario,scale,latency_req,consistency_req,language,framework,communication,database_primary,database_secondary,cache,message_broker,search_engine,api_style,auth,observability_stack,container_runtime,ci_cd,architecture_pattern,resilience_pattern,concurrency_model,deployment_target,key_libraries,notes,tags
1,Ecommerce - Product Catalog Service,high,medium,strong,java,spring-boot-3,rest+grpc,postgresql,redis,caffeine+redis,kafka,elasticsearch,rest-openapi,oauth2-oidc,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,circuit-breaker+bulkhead+retry,virtual-threads,cloud-k8s,"spring-cloud-gateway;resilience4j;spring-data-jpa;flyway;testcontainers",Product CRUD + search + inventory management; strong consistency for stock deduction; ES for product search,ecommerce;product;catalog;inventory;search;crud
2,Ecommerce - Order Service,high,medium,strong,java,spring-boot-3,rest+kafka,postgresql,redis,caffeine+redis,kafka,,rest-openapi,oauth2-oidc,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal+saga,circuit-breaker+bulkhead+retry+outbox,virtual-threads,cloud-k8s,"spring-cloud-stream;resilience4j;spring-data-jpa;flyway",Order lifecycle management; Saga for distributed transactions; Outbox guarantees message delivery,ecommerce;order;transaction;saga;payment
3,Ecommerce - Payment Service,high,low,strong,java,spring-boot-3,rest+kafka,postgresql,redis,redis,kafka,,rest-openapi,oauth2-oidc+mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,circuit-breaker+retry+idempotency,virtual-threads,cloud-k8s,"spring-cloud-stream;resilience4j;spring-vault",Payment idempotency is critical; mTLS for encrypted communication; Vault for secret management,ecommerce;payment;fintech;idempotent;security
4,Social Platform - Feed/Timeline Service,very-high,low,eventual,go,gin,rest+grpc+nats,postgresql,redis+cassandra,freecache+redis,nats,,rest-openapi,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-cqrs,circuit-breaker+bulkhead+singleflight,goroutine+errgroup,cloud-k8s,"pgx;nats.go;go-redis;singleflight",Push-pull hybrid feed; Cassandra for timeline storage; NATS for realtime push,social;feed;timeline;realtime;push;cqrs
5,Social Platform - Instant Messaging,very-high,ultra-low,eventual,go,stdlib-net-http,websocket+nats,postgresql,redis,freecache+redis,nats,,websocket,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-event-driven,circuit-breaker+graceful-degradation,goroutine+channel,cloud-k8s,"gorilla/websocket;nats.go;go-redis;protobuf",WebSocket long-connection management; message persistence + offline messages; NATS broadcast for horizontal scaling,social;chat;im;websocket;realtime;messaging
6,Social Platform - User Relationship Service,high,medium,strong,go,gin,rest+grpc,postgresql,redis+neo4j,freecache+redis,kafka,,rest-openapi+grpc,jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal,circuit-breaker+retry,goroutine+errgroup,cloud-k8s,"pgx;neo4j-go-driver;go-redis",Follow/friend relationships via graph DB; PG as primary store; cache hot user relationships,social;user;relationship;graph;follow
7,Fintech - Market Data Feed,very-high,ultra-low,eventual,rust,axum,grpc+websocket,timescaledb,redis,moka,kafka,,grpc+websocket,mtls+jwt,otel+prometheus+grafana,kubernetes,github-actions,microservice-event-driven,circuit-breaker+backpressure,tokio-async+broadcast-channel,cloud-k8s,"axum;tokio;tonic;sqlx;moka;rdkafka",Ultra-low-latency market data distribution; TimescaleDB for candlestick storage; Kafka for data aggregation; backpressure to prevent overload,fintech;trading;market-data;realtime;low-latency;ticker
8,Fintech - Order Matching Engine,very-high,ultra-low,strong,rust,custom-tcp,custom-binary-protocol,postgresql,redis,moka,,,,mtls,otel+prometheus+grafana,bare-metal,github-actions,monolith-event-sourcing,backpressure+graceful-degradation,tokio-async+lock-free-queue,bare-metal,"tokio;crossbeam;dashmap;sqlx",Core matching logic avoids GC; lock-free queue for order book; Event Sourcing for audit trail,fintech;trading;matching-engine;ultra-low-latency;lock-free;event-sourcing
9,Fintech - Risk Control Engine,very-high,low,strong,rust,axum,grpc,postgresql,redis+clickhouse,moka+redis,kafka,,grpc,mtls,otel+prometheus+grafana,kubernetes,github-actions,microservice-pipeline,circuit-breaker+bulkhead,tokio-async+rayon,cloud-k8s,"axum;tonic;sqlx;rdkafka;rayon",Realtime risk rules engine; Rayon for CPU-intensive rule evaluation; ClickHouse for risk analytics,fintech;risk;compliance;rules-engine;realtime;cpu-intensive
10,SaaS Platform - Multi-Tenant API,high,medium,strong,java,spring-boot-3,rest,postgresql,redis,caffeine+redis,kafka,elasticsearch,rest-openapi,oauth2-oidc+tenant-isolation,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal+multi-tenant,circuit-breaker+rate-limit-per-tenant,virtual-threads,cloud-k8s,"spring-security;spring-data-jpa;flyway;hibernate-filters",Schema-per-tenant or row-level isolation; per-tenant rate limiting; data isolation is the core concern,saas;multi-tenant;api;platform;b2b;enterprise
11,SaaS Platform - Billing & Metering Service,high,medium,strong,java,spring-boot-3,rest+kafka,postgresql,redis,caffeine+redis,kafka,,rest-openapi,oauth2-oidc,otel+prometheus+grafana,kubernetes,github-actions,microservice-hexagonal+event-driven,circuit-breaker+idempotency+outbox,virtual-threads,cloud-k8s,"spring-cloud-stream;spring-data-jpa;flyway",Usage metering + billing + invoicing; idempotency prevents double-charge; Outbox guarantees billing events,saas;billing;metering;subscription;invoice
12,IoT - Device Connectivity Gateway,very-high,low,eventual,rust,axum,mqtt+grpc,timescaledb,redis,moka,kafka,,mqtt+grpc,mtls+device-cert,otel+prometheus+grafana,kubernetes,github-actions,microservice-event-driven,backpressure+bulkhead+graceful-degradation,tokio-async,cloud-k8s+edge,"axum;rumqttd;tonic;sqlx;rdkafka;moka",Millions of device connections; MQTT protocol ingestion; backpressure against device flood; TimescaleDB for time-series,iot;gateway;device;mqtt;telemetry;edge;high-connection
